title,price,lat,long,capacity,rating,amenities,Air Conditioning,Fast Fashion,Indoor Shopping Area,Regional Brands,Street Access,price_norm,capacity_norm
shree ashapura,2000,19.022089,73.017311,69,4.0,['Air Conditioning'],1,0,0,0,0,0.22950819672131145,0.6705882352941177
the brand gallery,2500,19.030933,73.012314,56,4.9,['Street Access'],0,0,0,0,1,0.3114754098360656,0.5176470588235293
branded garment shop,1500,19.025639,73.021535,78,3.0,['Regional Brands'],0,0,0,1,0,0.14754098360655737,0.776470588235294
shoppers hub,3000,19.032821,73.016605,53,4.8,['Fast Fashion'],0,1,0,0,0,0.39344262295081966,0.4823529411764706
mr iB clothing,4700,19.037162,73.018861,89,3.6,['Indoor Shopping Area'],0,0,1,0,0,0.6721311475409836,0.9058823529411766
99 fashion wear,2200,19.016544,73.086503,72,5.0,['Air Conditioning'],1,0,0,0,0,0.26229508196721313,0.7058823529411764
cotton culture,2400,19.014379,73.09121,55,4.8,['Street Access'],0,0,0,0,1,0.29508196721311475,0.5058823529411764
zudio,1200,19.025624,73.092044,97,4.2,['Regional Brands'],0,0,0,1,0,0.09836065573770492,1.0
diva fashion,600,19.021834,73.090707,45,3.0,['Fast Fashion'],0,1,0,0,0,0.0,0.38823529411764707
kharat trends hub,3000,19.019804,73.088277,67,5.0,['Indoor Shopping Area'],0,0,1,0,0,0.39344262295081966,0.6470588235294117
star fashion,4500,19.01473,73.092337,56,4.6,['Air Conditioning'],1,0,0,0,0,0.639344262295082,0.5176470588235293
kajri,1500,19.019794,73.088278,45,4.4,['Street Access'],0,0,0,0,1,0.14754098360655737,0.38823529411764707
forever pretty,900,19.020092,73.016961,19,4.9,['Regional Brands'],0,0,0,1,0,0.04918032786885246,0.08235294117647057
trends,3200,19.022615,73.017337,36,4.1,['Fast Fashion'],0,1,0,0,0,0.42622950819672134,0.2823529411764706
bangok collection,2250,19.020004,73.016312,34,4.9,['Indoor Shopping Area'],0,0,1,0,0,0.27049180327868855,0.25882352941176473
peachmode,4000,19.021902,73.017519,34,4.8,['Air Conditioning'],1,0,0,0,0,0.5573770491803278,0.25882352941176473
kapra fashion,2300,19.021936,73.017722,67,4.7,['Street Access'],0,0,0,0,1,0.2786885245901639,0.6470588235294117
pantaloons,1900,19.0222472,73.017674,87,4.1,['Regional Brands'],0,0,0,1,0,0.21311475409836067,0.8823529411764706
meena fashions,1700,19.021221,73.0218742,55,4.4,['Fast Fashion'],0,1,0,0,0,0.180327868852459,0.5058823529411764
forever 21,2300,19.021898,73.017945,36,3.9,['Indoor Shopping Area'],0,0,1,0,0,0.2786885245901639,0.2823529411764706
fashion factory,3100,19.063595,72.997127,34,4.1,['Air Conditioning'],1,0,0,0,0,0.4098360655737705,0.25882352941176473
dhara,3700,19.071918,73.001123,25,4.0,['Street Access'],0,0,0,0,1,0.5081967213114754,0.15294117647058825
three three,1200,19.071456,73.001828,56,4.7,['Regional Brands'],0,0,0,1,0,0.09836065573770492,0.5176470588235293
globus fashion,2300,19.066127,73.001143,45,3.9,['Fast Fashion'],0,1,0,0,0,0.2786885245901639,0.38823529411764707
global desi,3750,19.065725,73.001208,29,4.7,['Indoor Shopping Area'],0,0,1,0,0,0.5163934426229508,0.2
manyavar,4900,19.066033,73.00089,34,4.6,['Air Conditioning'],1,0,0,0,0,0.7049180327868853,0.25882352941176473
culture,3200,19.078646,72.997427,25,4.8,['Street Access'],0,0,0,0,1,0.42622950819672134,0.15294117647058825
style,2300,19.066431,72.999328,76,4.3,['Regional Brands'],0,0,0,1,0,0.2786885245901639,0.7529411764705882
the raymond,4300,19.071382,73.001707,56,4.5,['Fast Fashion'],0,1,0,0,0,0.6065573770491803,0.5176470588235293
ridhi sidhi,3400,19.061415,73.014168,34,5.0,['Indoor Shopping Area'],0,0,1,0,0,0.4590163934426229,0.25882352941176473
rajkamal,6700,19.054956,73.016185,76,4.7,['Air Conditioning'],1,0,0,0,0,1.0,0.7529411764705882
anmol,5400,19.062421,73.014045,23,3.5,['Street Access'],0,0,0,0,1,0.7868852459016393,0.12941176470588234
jockey,1400,19.064109,73.010622,35,4.1,['Regional Brands'],0,0,0,1,0,0.13114754098360656,0.27058823529411763
vimala,780,19.064563,73.009391,21,5.0,['Fast Fashion'],0,1,0,0,0,0.02950819672131147,0.10588235294117648
the plug,3520,19.063787,73.0141,12,5.0,['Indoor Shopping Area'],0,0,1,0,0,0.478688524590164,0.0
h2,3456,19.060892,73.00392,58,4.0,['Air Conditioning'],1,0,0,0,0,0.4681967213114754,0.5411764705882354
mira designer,4500,19.013683,73.038906,45,5.0,['Street Access'],0,0,0,0,1,0.639344262295082,0.38823529411764707
fashion king,3200,19.015624,73.040871,56,4.9,['Regional Brands'],0,0,0,1,0,0.42622950819672134,0.5176470588235293
shree collections,2800,19.025594,73.04318,72,4.7,['Fast Fashion'],0,1,0,0,0,0.36065573770491804,0.7058823529411764
viona,990,19.025459,73.043215,56,3.3,['Indoor Shopping Area'],0,0,1,0,0,0.0639344262295082,0.5176470588235293
